Rank,City,State,Population 2019,2010 census,Location
185,McAllen,Texas,"143,268","129,877",26.2322°N 98.2464°W
186,Syracuse,New York,"142,327","145,170",43.0410°N 76.1436°W
187,Surprise,Arizona,"141,664","117,517",33.6706°N 112.4527°W
188,Denton,Texas,"141,541","113,383",33.2166°N 97.1414°W
189,Roseville,California,"141,500","118,788",38.7690°N 121.3189°W
190,Thornton,Colorado,"141,464","118,772",39.9194°N 104.9428°W
191,Miramar,Florida,"141,191","122,041",25.9770°N 80.3358°W
192,Pasadena,California,"141,029","137,122",34.1606°N 118.1396°W
193,Mesquite,Texas,"140,937","139,824",32.7629°N 96.5888°W
194,Olathe,Kansas,"140,545","125,872",38.8843°N 94.8195°W
195,Dayton,Ohio,"140,407","141,527",39.7774°N 84.1996°W
196,Carrollton,Texas,"139,248","119,097",32.9884°N 96.8998°W
197,Waco,Texas,"139,236","124,805",31.5601°N 97.1860°W
198,Orange,California,"138,669","136,416",33.7870°N 117.8613°W
199,Fullerton,California,"138,632","135,161",33.8857°N 117.9280°W
200,Charleston,South Carolina,"137,566","120,083",32.8179°N 79.9590°W
201,West Valley City,Utah,"135,248","129,480",40.6885°N 112.0118°W
202,Visalia,California,"134,605","124,442",36.3273°N 119.3289°W
203,Hampton,Virginia,"134,510","137,436",37.0480°N 76.2971°W
204,Gainesville,Florida,"133,997","124,354",29.6788°N 82.3461°W
205,Warren,Michigan,"133,943","134,056",42.4929°N 83.0250°W
206,Coral Springs,Florida,"133,759","121,096",26.2707°N 80.2593°W
207,Cedar Rapids,Iowa,"133,562","126,326",41.9670°N 91.6778°W
208,Round Rock,Texas,"133,372","99,887",30.5252°N 97.6660°W
209,Sterling Heights,Michigan,"132,438","129,699",42.5812°N 83.0303°W
210,Kent,Washington,"132,319","92,411",47.3880°N 122.2127°W
211,Columbia,South Carolina,"131,674","129,272",34.0291°N 80.8980°W
212,Santa Clara,California,"130,365","116,468",37.3646°N 121.9679°W
213,New Haven,Connecticut,"130,250","129,779",41.3108°N 72.9250°W
214,Stamford,Connecticut,"129,638","122,643",41.0799°N 73.5460°W
215,Concord,California,"129,295","122,067",37.9722°N 122.0016°W
216,Elizabeth,New Jersey,"129,216","124,969",40.6664°N 74.1935°W
217,Athens,Georgia,"126,913","115,452",33.9496°N 83.3701°W
218,Thousand Oaks,California,"126,813","126,683",34.1933°N 118.8742°W
219,Lafayette,Louisiana,"126,185","120,623",30.2074°N 92.0285°W
220,Simi Valley,California,"125,613","124,237",34.2669°N 118.7485°W
221,Topeka,Kansas,"125,310","127,473",39.0347°N 95.6962°W
222,Norman,Oklahoma,"124,880","110,925",35.2406°N 97.3453°W
223,Fargo,North Dakota,"124,662","105,549",46.8652°N 96.8290°W
224,Wilmington,North Carolina,"123,744","106,476",34.2092°N 77.8858°W
225,Abilene,Texas,"123,420","117,063",32.4545°N 99.7381°W
226,Odessa,Texas,"123,334","99,940",31.8838°N 102.3411°W
227,Columbia,Missouri,"123,195","108,500",38.951561°N 92.328638°W
228,Pearland,Texas,"122,460","91,252",29.5558°N 95.3231°W
229,Victorville,California,"122,385","115,903",34.5277°N 117.3536°W
230,Hartford,Connecticut,"122,105","124,775",41.7659°N 72.6816°W
231,Vallejo,California,"121,692","115,942",38.1079°N 122.2640°W
232,Allentown,Pennsylvania,"121,442","118,032",40.5936°N 75.4784°W
233,Berkeley,California,"121,363","112,580",37.8670°N 122.2991°W
234,Richardson,Texas,"121,323","99,223",32.9723°N 96.7081°W
235,Arvada,Colorado,"121,272","106,433",39.8337°N 105.1503°W
236,Ann Arbor,Michigan,"119,980","113,934",42.2761°N 83.7309°W
237,Rochester,Minnesota,"118,935","106,769",44.0154°N 92.4772°W
238,Cambridge,Massachusetts,"118,927","105,162",42.3760°N 71.1187°W
239,Sugar Land,Texas,"118,488","78,817",29.5994°N 95.6142°W
240,Lansing,Michigan,"118,210","114,297",42.7143°N 84.5593°W
241,Evansville,Indiana,"117,979","117,429",37.9877°N 87.5347°W
242,College Station,Texas,"117,911","93,857",30.5852°N 96.2964°W
243,Fairfield,California,"117,133","105,321",38.2593°N 122.0321°W
244,Clearwater,Florida,"116,946","107,685",27.9789°N 82.7666°W
245,Beaumont,Texas,"116,825","118,296",30.0849°N 94.1453°W
246,Independence,Missouri,"116,672","116,830",39.0855°N 94.3521°W
247,Provo,Utah,"116,618","112,488",40.2453°N 111.6448°W
248,West Jordan,Utah,"116,480","103,712",40.6024°N 112.0008°W
249,Murrieta,California,"116,223","103,466",33.5721°N 117.1904°W
